verification_queue,verification_priority,edge_id,source_strut_id,node_u,node_v,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2c_triage_bucket,phase2c_label,phase2c_status,phase2c_confidence_tier,phase2c_reason,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region
remaining_review_required_677_second_priority,1,E_N005468_N006605,11708,N005468,N006605,manual_review_uncertain,blocked_manual_review,uncertain_mixed_evidence,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,4,64,4.8374999999999995,0.4166666666666667,0.5833333333333334,4.75,0.20958083832335328,3.8,False,0.08333333333333331,0.3869486659948345,ori101,near_boundary,r121
remaining_review_required_677_second_priority,2,E_N004684_N005821,10340,N004684,N005821,manual_review_uncertain,blocked_manual_review,uncertain_mixed_evidence,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,3,67,4.727083333333333,0.75,0.25,10.333333333333334,2.2316269640141915,4.325,False,0.20833333333333337,0.16505491542447037,ori101,near_boundary,r001
remaining_review_required_677_second_priority,3,E_N002146_N002152,3782,N002146,N002152,manual_review_uncertain,blocked_manual_review,uncertain_registration_unstable,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,4,69,4.625,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6197866149369544,3.4,False,0.16666666666666669,2.5,ori011,boundary,r020
remaining_review_required_677_second_priority,4,E_N010116_N010121,18270,N010116,N010121,manual_review_uncertain,blocked_manual_review,uncertain_mixed_evidence,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,4,70,4.604166666666666,0.3333333333333333,0.6666666666666666,4.041666666666667,0.14316702819956617,3.4,False,0.08333333333333331,0.3041601293177627,ori011,boundary,r022
remaining_review_required_677_second_priority,5,E_N003280_N004420,7813,N003280,N004420,manual_review_possible_unintended_disconnected,blocked_manual_review,possible_disconnected_instability_or_evidence_shortfall,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,5,71,4.520833333333333,0.375,0.625,3.4583333333333335,-0.21056289089645588,3.4,False,0.08333333333333337,2.5,ori011,boundary,r021
remaining_review_required_677_second_priority,6,E_N003280_N003286,5798,N003280,N003286,manual_review_possible_unintended_disconnected,blocked_manual_review,possible_disconnected_instability_or_evidence_shortfall,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,5,74,4.2562500000000005,0.4583333333333333,0.5416666666666666,2.875,0.015468607825295723,3.291666666666667,False,0.12499999999999994,2.5,ori011,boundary,r020
remaining_review_required_677_second_priority,7,E_N000633_N000766,1324,N000633,N000766,manual_review_uncertain,blocked_manual_review,uncertain_threshold_sensitive,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,3,76,4.23125,0.5,0.4583333333333333,1.875,0.11835748792270531,3.225,False,0.7916666666666666,2.5,ori011,boundary,r020
remaining_review_required_677_second_priority,8,E_N007259_N007265,13107,N007259,N007265,manual_review_uncertain,blocked_manual_review,uncertain_mixed_evidence,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,3,77,4.214583333333334,0.5416666666666666,0.4583333333333333,7.083333333333333,0.9267810026385225,3.416666666666667,False,0.125,0.6082895085961296,ori101,interior,r112
remaining_review_required_677_second_priority,9,E_N002330_N003484,6176,N002330,N003484,manual_review_uncertain,blocked_manual_review,uncertain_mixed_evidence,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,3,82,4.150480769230769,0.5416666666666666,0.4583333333333333,5.333333333333333,1.5656742556917689,3.352564102564102,False,0.125,1.4364135517125658,ori101,boundary,r101
remaining_review_required_677_second_priority,10,E_N000759_N000892,1544,N000759,N000892,manual_review_uncertain,blocked_manual_review,uncertain_threshold_sensitive,phase2c_still_review_required,still_review_required,review_required,blocked_or_mixed_evidence_remains_unresolved,3,83,4.102083333333334,0.5416666666666666,0.375,1.9583333333333333,0.1875,3.2,False,0.875,2.5,ori011,boundary,r020
