verification_queue,verification_priority,edge_id,source_strut_id,node_u,node_v,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2c_triage_bucket,phase2c_label,phase2c_status,phase2c_confidence_tier,phase2c_reason,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region
low_priority_uncertain_2654_audit_only,1,E_N005947_N005963,10582,N005947,N005963,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_threshold_sensitive,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,676,2.7916666666666665,1.0,0.0,7.708333333333333,15.465408805031446,2.6666666666666665,True,0.5,0.11591897861397706,ori110,interior,r001
low_priority_uncertain_2654_audit_only,2,E_N000139_N000260,461,N000139,N000260,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,689,2.761904761904762,1.0,0.0,12.25,4.838662790697675,2.761904761904762,True,0.0,0.7346548399144804,ori011,boundary,r000
low_priority_uncertain_2654_audit_only,3,E_N000508_N001774,3120,N000508,N001774,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_registration_unstable,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,690,2.75,1.0,0.0,6.833333333333333,1.8666666666666667,2.75,True,0.0,2.5,ori011,boundary,r010
low_priority_uncertain_2654_audit_only,4,E_N001337_N001464,4593,N001337,N001464,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_threshold_sensitive,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,696,2.739583333333333,1.0,0.0,4.583333333333333,2.2203947368421053,2.6666666666666665,True,0.29166666666666663,0.9881140523193179,ori110,interior,r100
low_priority_uncertain_2654_audit_only,5,E_N000260_N000263,458,N000260,N000263,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,701,2.7333333333333334,1.0,0.0,11.0,1.7379145025968838,2.7333333333333334,True,0.0,0.7346548399144804,ori101,boundary,r000
low_priority_uncertain_2654_audit_only,6,E_N000315_N001469,2804,N000315,N001469,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,824,2.7,1.0,0.0,8.041666666666666,1.683740321620012,2.7,True,0.0,0.726707650158626,ori101,near_boundary,r110
low_priority_uncertain_2654_audit_only,7,E_N001841_N001847,3467,N001841,N001847,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,825,2.7,1.0,0.0,8.25,1.8897435897435897,2.7,True,0.0,1.063369281148987,ori101,near_boundary,r110
low_priority_uncertain_2654_audit_only,8,E_N000077_N000083,351,N000077,N000083,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,834,2.6666666666666665,1.0,0.0,8.708333333333334,0.21480637813211845,2.6666666666666665,True,0.0,0.9059800921571122,ori101,boundary,r100
low_priority_uncertain_2654_audit_only,9,E_N000133_N001397,2484,N000133,N001397,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,835,2.6666666666666665,1.0,0.0,14.0,8.259911894273127,2.6666666666666665,True,0.0,0.5208150509528835,ori011,near_boundary,r000
low_priority_uncertain_2654_audit_only,10,E_N000511_N001775,3144,N000511,N001775,auto_low_priority_uncertain_not_defect_like,auto_low_priority_not_reported_as_defect,uncertain_mixed_evidence,phase2c_low_priority_uncertain_not_defect_like,low_priority_not_reported_as_defect,low_priority,phase2b4_low_priority_preserved,1,836,2.6666666666666665,1.0,0.0,10.541666666666666,3.6287732819524727,2.6666666666666665,True,0.0,0.7556083082763871,ori011,near_boundary,r010
